ID,Preco_Original,Preco_Previsto,Origem
45809891,,42895.96,Sem preço original
45619226,,4501.4,Sem preço original
45810400,,29037.26,Sem preço original
45241160,,12763.13,Sem preço original
45532883,,5970.58,Sem preço original
45796070,,9625.78,Sem preço original
45803811,,40546.75,Sem preço original
45760764,,14503.86,Sem preço original
45768973,,18955.32,Sem preço original
45813968,,2943.73,Sem preço original
45280588,,18127.91,Sem preço original
45548704,,59062.63,Sem preço original
44765681,,29810.72,Sem preço original
45793437,,9523.95,Sem preço original
45773555,,11185.26,Sem preço original
45792892,,12411.26,Sem preço original
45797228,,12786.35,Sem preço original
45793251,,37013.03,Sem preço original
45777011,,12317.78,Sem preço original
45641706,,8973.57,Sem preço original
45801646,,17141.37,Sem preço original
45802077,,17586.34,Sem preço original
42568098,,7990.8,Sem preço original
45797335,,33850.79,Sem preço original
45547904,,22421.7,Sem preço original
45789394,,14884.85,Sem preço original
45810287,,18135.56,Sem preço original
45763401,,7012.51,Sem preço original
45140447,,20296.78,Sem preço original
45656686,,3396.06,Sem preço original
45634858,,5211.53,Sem preço original
45727769,,4968.42,Sem preço original
45730524,,19920.1,Sem preço original
45798438,,29986.95,Sem preço original
45810214,,7411.12,Sem preço original
45782106,,5928.28,Sem preço original
45792192,,4776.54,Sem preço original
45803722,,43299.23,Sem preço original
45645713,,9208.37,Sem preço original
45802192,,32027.59,Sem preço original
44610413,,9143.62,Sem preço original
45811276,,16380.92,Sem preço original
45656894,,3599.23,Sem preço original
45792285,,22628.29,Sem preço original
45779686,,18182.81,Sem preço original
45542725,,17959.78,Sem preço original
45769201,,1649.24,Sem preço original
44658005,,15040.57,Sem preço original
45649046,,10634.72,Sem preço original
45799078,,8079.92,Sem preço original
41645702,,25647.98,Sem preço original
45803006,,60116.77,Sem preço original
45682464,,13686.22,Sem preço original
45323336,,9510.16,Sem preço original
45770099,,12392.17,Sem preço original
45797438,,11268.73,Sem preço original
45816397,,1973.92,Sem preço original
45775579,,15817.84,Sem preço original
45809471,,16922.6,Sem preço original
45809359,,13148.2,Sem preço original
45774474,,8556.19,Sem preço original
45804415,,22635.46,Sem preço original
45540661,,17447.12,Sem preço original
45758625,,13482.54,Sem preço original
45765586,,8992.52,Sem preço original
45612620,,6973.19,Sem preço original
45731492,,19046.9,Sem preço original
45774495,,10969.37,Sem preço original
45729877,,38240.77,Sem preço original
45805009,,21188.81,Sem preço original
45810932,,4689.78,Sem preço original
45809980,,17831.24,Sem preço original
45802844,,66820.08,Sem preço original
45744732,,5336.51,Sem preço original
44650638,,61589.45,Sem preço original
45790100,,21377.38,Sem preço original
45815366,,13667.62,Sem preço original
45816067,,11828.29,Sem preço original
45816133,,29181.44,Sem preço original
44788137,,11207.11,Sem preço original
45809986,,44182.22,Sem preço original
45479787,,14766.3,Sem preço original
45728816,,21521.71,Sem preço original
43973837,,12819.94,Sem preço original
45809898,,16075.63,Sem preço original
45797678,,19050.49,Sem preço original
45475626,,38239.99,Sem preço original
45770116,,33136.1,Sem preço original
44271999,,7662.12,Sem preço original
45759994,,6187.71,Sem preço original
45809781,,8529.77,Sem preço original
45211794,,22014.31,Sem preço original
45787197,,15916.73,Sem preço original
45631400,,12127.42,Sem preço original
45809943,,18130.17,Sem preço original
45730389,,30726.21,Sem preço original
45776011,,17914.09,Sem preço original
45756848,,18054.14,Sem preço original
45726845,,31133.54,Sem preço original
45798009,,14863.67,Sem preço original
45732103,,42999.93,Sem preço original
45385047,,17481.99,Sem preço original
45709546,,40643.31,Sem preço original
45801383,,7252.24,Sem preço original
45804179,,23328.74,Sem preço original
45798389,,24544.35,Sem preço original
45772790,,501.49,Sem preço original
45767344,,9209.05,Sem preço original
43499765,,5973.75,Sem preço original
45776829,,15401.9,Sem preço original
45769256,,6856.04,Sem preço original
44682053,,10707.3,Sem preço original
45073672,,27979.51,Sem preço original
45772353,,12017.0,Sem preço original
44762753,,24403.95,Sem preço original
45641190,,4996.97,Sem preço original
45801472,,17552.14,Sem preço original
45641186,,4991.68,Sem preço original
45759173,,13862.65,Sem preço original
45788865,,6557.76,Sem preço original
45807532,,18929.26,Sem preço original
45816283,,13947.58,Sem preço original
45655702,,2775.15,Sem preço original
45809723,,43513.19,Sem preço original
45198863,,20389.75,Sem preço original
45748975,,17014.72,Sem preço original
45813371,,7508.31,Sem preço original
45798296,,8770.02,Sem preço original
45809131,,19369.49,Sem preço original
45797078,,17303.38,Sem preço original
45776860,,18955.61,Sem preço original
45810980,,9820.14,Sem preço original
45772602,,18766.13,Sem preço original
45809062,,18876.89,Sem preço original
45771899,,8583.47,Sem preço original
45803198,,45500.82,Sem preço original
45649452,,12215.28,Sem preço original
45794470,,14661.8,Sem preço original
45802598,,30822.71,Sem preço original
45810146,,14280.68,Sem preço original
45809788,,5190.93,Sem preço original
45646691,,15844.8,Sem preço original
45220917,,20154.47,Sem preço original
44342500,,22114.56,Sem preço original
45776995,,7222.02,Sem preço original
45625438,,15901.54,Sem preço original
45755382,,11450.38,Sem preço original
45760113,,31273.14,Sem preço original
45772412,,17096.03,Sem preço original
45650309,,6621.02,Sem preço original
41957882,,68394.8,Sem preço original
45801452,,17140.6,Sem preço original
45806604,,5557.08,Sem preço original
45809280,,20104.51,Sem preço original
45765230,,3748.76,Sem preço original
40484138,,19056.13,Sem preço original
45624795,,4383.19,Sem preço original
45811784,,42883.87,Sem preço original
45653715,,13500.71,Sem preço original
45804465,,47117.67,Sem preço original
31881664,,9713.12,Sem preço original
45776852,,18367.41,Sem preço original
45793405,,6448.97,Sem preço original
45771222,,5879.19,Sem preço original
45789121,,15446.76,Sem preço original
45249884,,23172.43,Sem preço original
45793895,,6130.4,Sem preço original
45729836,,43000.86,Sem preço original
45793374,,8092.99,Sem preço original
45793661,,18832.01,Sem preço original
45758907,,4451.35,Sem preço original
45184417,,28427.68,Sem preço original
45759294,,11069.31,Sem preço original
45732599,,45038.2,Sem preço original
45770566,,9153.13,Sem preço original
45781563,,16592.82,Sem preço original
45781683,,4028.94,Sem preço original
44676343,,18548.76,Sem preço original
45810197,,38818.26,Sem preço original
45793695,,6007.5,Sem preço original
45730250,,21770.34,Sem preço original
45787111,,10732.07,Sem preço original
45660964,,10045.63,Sem preço original
45394192,,8155.6,Sem preço original
45757399,,15021.87,Sem preço original
45656650,,5037.14,Sem preço original
45791566,,20105.28,Sem preço original
45730281,,31525.42,Sem preço original
45782854,,3949.06,Sem preço original
45798583,,38028.03,Sem preço original
45516140,,23401.7,Sem preço original
45735293,,7295.93,Sem preço original
45732773,,15574.37,Sem preço original
45781245,,17698.33,Sem preço original
44782614,,39558.56,Sem preço original
45809667,,25492.08,Sem preço original
45809777,,4326.11,Sem preço original
45813734,,7636.02,Sem preço original
45728573,,31921.48,Sem preço original
45771788,,1703.73,Sem preço original
45806092,,5503.5,Sem preço original
45642897,,12350.82,Sem preço original
45769578,,6224.18,Sem preço original
45640934,,8319.87,Sem preço original
45798031,,17236.5,Sem preço original
45809578,,15099.09,Sem preço original
45798325,,18621.78,Sem preço original
45657074,,38684.92,Sem preço original
45099195,,25124.19,Sem preço original
44281349,,33832.21,Sem preço original
45762461,,4401.84,Sem preço original
45636347,,5449.45,Sem preço original
45809362,,39711.42,Sem preço original
45556418,,58049.01,Sem preço original
45771938,,3488.32,Sem preço original
45813354,,13606.27,Sem preço original
45758224,,43062.75,Sem preço original
45770334,,6790.03,Sem preço original
45768243,,14435.92,Sem preço original
45758478,,4633.26,Sem preço original
45728447,,52178.69,Sem preço original
42711205,,5321.86,Sem preço original
45757672,,5709.37,Sem preço original
45810119,,10238.38,Sem preço original
45758462,,11103.84,Sem preço original
41644107,,11612.07,Sem preço original
45565114,,14576.45,Sem preço original
45814282,,13780.07,Sem preço original
45262988,,19715.86,Sem preço original
45788962,,7520.35,Sem preço original
45798454,,43675.13,Sem preço original
45726701,,25984.33,Sem preço original
45815336,,16718.78,Sem preço original
45766207,,12092.5,Sem preço original
45816406,,4416.6,Sem preço original
45769653,,3656.61,Sem preço original
45766125,,5332.53,Sem preço original
