"ID","Débitos","Fabricante","Modelo","Ano","Categoria","Couro","Combustivel","Volume_motor","Km","Cilindros","Tipo_cambio","Tração","Portas","Rodas","Cor","Airbags","Preco","Numero_proprietarios","Data_ultima_lavagem","Adesivos_personalizados","Radio_AM_FM","Historico_troca_oleo","Codigo_concessionaria","Classificacao_Veiculo","Faixa_Preco"
45654403,"1399","LEXUS","RX 450",2010,"SUV","Sim","Hibrido","3.5","186005 km",6,"Automatico","4x4","4-5",23,"Prata",12,13328,1,2021-03-14,"Sim","FM",8,8497,"Usado","Econômico"
44731507,"1018","CHEVROLET","Equinox",2011,"SUV","Nao","GASOLINA","3",NA,6,"Tiptronic","4x4","4-5",14,"Preto",8,16621,5,2021-08-08,"Sim","AM",4,6796,"Usado","Econômico"
45774419,"-","HONDA","FIT",2006,"Hatchback","Nao","GASOLINA","1.3","200000 km",4,"Variator","Dianteira","4-5",17,"Preto",2,8467,1,2020-04-14,"Sim","FM",5,3382,"Usado","Econômico"
45769185,"862","FORD","Escape",2011,"SUV","Sim","Hibrido","2.5","168966 km",4,"Automatico","4x4","4-5",15,"Branco",0,3607,1,2020-01-13,"Não","AM/FM",7,1458,"Usado","Econômico"
45809263,"446","HONDA","FIT",2014,"Hatchback","Sim","Gasolina","1.3","91901 km",4,"Automatico","Dianteira","4-5",28,"Prata",4,11726,2,2021-10-11,"Não","AM",5,5374,"Usado","Econômico"
45802912,"891","HYUNDAI","Santa FE",2016,"SUV","Sim","diesel","2","160931 km",4,"Automatico","Dianteira","4-5",20,"Branco",4,39493,4,2022-12-02,"Não","FM",9,8171,"Usado","Médio"
45656768,"761","TOYOTA","Prius",2010,"Hatchback","Sim","Hibrido","1.8","258909 km",4,"Automatico","Dianteira","4-5",21,"Branco",12,1803,2,2022-12-26,"Não","FM",7,2294,"Usado","Econômico"
45816158,"751","HYUNDAI","Sonata",2013,"Sedan","Sim","GASOLINA","2.4","216118 km",4,"Automatico","Dianteira","4-5",4,"Cinza",12,549,2,2020-10-28,"Não","FM",10,7809,"Usado","Econômico"
45641395,"394","TOYOTA","Camry",2014,"Sedan","Sim","Hibrido","2.5","398069 km",4,"Automatico","Dianteira","4-5",21,"Preto",12,NA,1,2022-05-10,"Não","AM/FM",10,2393,"Usado",NA
45756839,"-","LEXUS","RX 350",2007,"SUV","Sim","Gasolina","3.5","128500 km",6,"Automatico","4x4","4-5",25,"Prata",12,26657,4,2022-09-15,"Não","AM",3,6352,"Usado","Médio"
45621750,"1053","MERCEDES-BENZ","E 350",2014,"Sedan","Sim","Diesel","3.5","184467 km",6,"Automatico","Traseira","4-5",21,"Branco",12,941,1,2020-08-05,"Não","AM",3,7955,"Usado","Econômico"
45814819,"-","FORD","Transit",1999,"Microonibus","Nao","Gás Natural","4","0 km",8,"Manual","Traseira","2-3",4,"Azul",0,8781,5,2020-11-22,"Não","AM",5,5589,"Usado","Econômico"
45815568,"-","OPEL","Vectra",1997,"Vagao de carga","Nao","Gás Natural","1.6","350000 km",4,"Manual","Dianteira","4-5",26,"Branco",4,3000,4,2021-09-14,"Não","FM",7,5118,"Usado","Econômico"
45661288,"1055","LEXUS","RX 450",2013,"SUV","Sim","Hibrido","3.5","138038 km",6,"Automatico","Dianteira","4-5",30,"Branco",12,1019,2,2021-02-28,"Sim","AM/FM",7,6719,"Usado","Econômico"
45732604,"891","HYUNDAI","Santa FE",2016,"SUV","Sim","DIESEL","2","76000 km",4,"Automatico","Dianteira","4-5",6,"Branco",4,59464,2,2021-05-24,"Não","AM/FM",4,8354,"Usado","Luxo"
45465200,"1079","TOYOTA","CHR",2018,"SUV","Sim","Gasolina","2",NA,4,"Automatico","Dianteira","4-5",6,"Branco",12,549,3,2021-06-03,"Não","AM/FM",8,9793,"Semi-novo","Econômico"
45772281,"810","HYUNDAI","Elantra",2016,"Sedan","Sim","gasolina","1.8","121840 km",4,"Automatico","Dianteira","4-5",2,"Azul",12,7683,1,2022-12-05,"Não","AM/FM",9,8373,"Usado","Econômico"
45797221,"810","HYUNDAI","Elantra",2016,"Sedan","Sim","Gasolina","1.8","54317 km",4,"Automatico","Dianteira","4-5",6,"Branco",4,28382,1,2020-09-03,"Sim","AM/FM",2,7628,"Usado","Médio"
45772104,"2386","HYUNDAI","Sonata",2006,"Sedan","Sim","GASOLINA","3.3","295059 km",6,"Automatico","Traseira","4-5",18,"Azul",12,549,3,2020-06-21,"Sim","AM/FM",1,7867,"Usado","Econômico"
45653306,"1850","LEXUS","RX 400",2008,"SUV","Sim","Hibrido","3.5","364523 km",6,"Automatico","4x4","4-5",30,"Preto",12,941,4,2022-02-01,"Não","AM/FM",3,3737,"Usado","Econômico"
45801686,"531","HYUNDAI","Elantra",2012,"Sedan","Sim","Gasol.","1.6","112645 km",4,"Automatico","Dianteira","4-5",26,"Prata",4,18826,5,2021-04-02,"Não","AM/FM",9,1442,"Usado","Econômico"
45751951,"1249","TOYOTA","Camry",2017,"Sedan","Sim","Gasolina","2.5","39709 km",4,"Automatico","Dianteira","4-5",3,"Preto",12,17562,5,2020-02-09,"Não","AM/FM",9,2124,"Usado","Econômico"
45814106,"-","FORD","Transit",2001,"Microonibus","Nao","DIESEL","2.0 Turbo","230000 km",4,"Manual","Dianteira","2-3",13,"Branco",0,7840,5,2021-06-18,"Não","AM",0,8006,"Usado","Econômico"
45813492,"-","OPEL","Vectra",1995,"Sedan","Nao","GASOLINA","1.8","0 km",4,"Automatico","Dianteira","4-5",13,"Verde",4,4704,4,2022-03-15,"Não","FM",0,7336,"Usado","Econômico"
45782859,"-","MERCEDES-BENZ","E 220",2006,"Sedan","Sim","Diesel","2.2 Turbo",NA,4,"Tiptronic","Traseira","4-5",3,"Preto",8,20385,2,2022-11-04,"Não","AM/FM",9,4079,"Usado","Médio"
45759112,"2455","LEXUS","GX 470",2008,"SUV","Sim","Gasolina","4.7","0 km",8,"Automatico","4x4","4-5",23,"Branco",0,NA,4,2022-12-14,"Sim","FM",3,7793,"Usado",NA
45804684,"-","TOYOTA","Prius",2008,"Sedan","Nao","Hibrido","1.5",NA,4,"Automatico","Dianteira","4-5",27,"Branco",8,30,3,2020-01-24,"Não","AM",2,5203,"Usado","Econômico"
45801525,"583","HYUNDAI","Elantra",2011,"Sedan","Sim","Gasolina","1.6","158787 km",4,"Automatico","Dianteira","4-5",14,"Prata",4,14454,2,2021-07-14,"Não","FM",4,4273,"Usado","Econômico"
45768550,"1537","TOYOTA","Highlander",2009,"SUV","Sim","Hibrido","3.3","420550 km",6,"Automatico","4x4","4-5",5,"Azul",12,12074,1,2020-09-20,"Não","AM",2,4518,"Usado","Econômico"
44944581,"1288","MERCEDES-BENZ","Vito",2007,"Vagao de carga","Nao","diesel","2.0 Turbo","180000 km",6,"Manual","Traseira","4-5",21,"Branco",4,15681,2,2022-05-18,"Não","AM",3,8489,"Usado","Econômico"
45760983,"915","PORSCHE","Cayenne",2014,"SUV","Sim","DIESEL","3","175056 km",6,"Automatico","4x4","4-5",19,"Branco",12,19444,3,2022-01-19,"Sim","AM",7,1396,"Usado","Econômico"
45790136,"-","BMW","X5",2000,"SUV","Sim","Gás Natural","4.4","200000 km",8,"Automatico","4x4","4-5",28,"Prata",6,6899,2,2020-09-14,"Não","AM/FM",10,8293,"Usado","Econômico"
45770026,"1750","TOYOTA","Highlander",2008,"Sedan","Sim","Hibrido","3.3","287274 km",6,"Automatico","4x4","4-5",19,"Branco",12,125,4,2020-09-01,"Não","AM",3,4153,"Usado","Econômico"
45542380,"-","JEEP","Grand Cherokee",2007,"SUV","Sim","diesel","3.0 Turbo","250000 km",6,"Tiptronic","4x4","4-5",19,"Preto",10,24462,4,2022-08-17,"Não","AM",0,2275,"Usado","Médio"
45732374,"707","HYUNDAI","Santa FE",2011,"SUV","Sim","Diesel","2","162000 km",4,"Automatico","Dianteira","4-5",28,"Cinza",4,23235,2,2021-03-17,"Sim","AM",10,9544,"Usado","Médio"
45369569,"1077","TOYOTA","CHR Limited",2019,"SUV","Nao","GASOLINA","2","10200 km",4,"Tiptronic","Dianteira","4-5",10,"Red",12,51746,5,2022-12-22,"Sim","AM/FM",4,5799,"Semi-novo","Luxo"
45642526,"1486","HONDA","FIT",2010,"Hatchback","Nao","Hibrido","1.3","158000 km",4,"Automatico","Dianteira","4-5",18,"Preto",4,7527,4,2022-03-29,"Sim","AM",4,1608,"Usado","Econômico"
45801668,"531","HYUNDAI","Elantra",2012,"Sedan","Sim","Gasolina","1.6","103490 km",4,"Automatico","Dianteira","4-5",3,"Prata",4,19121,5,2022-03-26,"Não","AM/FM",3,9007,"Usado","Econômico"
45661296,"1399","LEXUS","RX 450",2010,"SUV","Sim","Hibrido","3.5","382746 km",6,"Automatico","4x4","4-5",20,"Prata",12,314,4,2021-05-09,"Não","AM/FM",1,3462,"Usado","Econômico"
45815051,"751","TOYOTA","Camry",2013,"Sedan","Sim","Gasol.","2.4","203200 km",4,"Automatico","Dianteira","4-5",6,"Azul",4,24462,2,2022-03-28,"Sim","FM",3,7736,"Usado","Médio"
45797488,"1091","HYUNDAI","H1",2016,"Universal","Sim","Diesel","2.5","61057 km",4,"Automatico","Dianteira","4-5",4,"Preto",4,45734,2,2020-05-06,"Sim","FM",5,6657,"Usado","Médio"
45667253,"650","VOLKSWAGEN","Jetta",2016,"Sedan","Sim","gasolina","1.4 Turbo","11200 km",4,"Tiptronic","Dianteira","4-5",24,"Preto",8,20165,3,2022-02-12,"Não","FM",9,5219,"Usado","Médio"
