ID,Débitos,Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tração,Portas,Rodas,Cor,Airbags,Preco,Numero_proprietarios,Data_ultima_lavagem,Adesivos_personalizados,Radio_AM_FM,Historico_troca_oleo,Codigo_concessionaria,Classificacao_Veiculo,Faixa_Preco,Dias_desde_lavagem
45654403,1399,LEXUS,RX 450,2010,SUV,Sim,Híbrido,3.5,186005.0,6,Automatico,4x4,4-5,23,Prata,12,13328.0,1,2021-03-14,Sim,FM,8,8497,Usado,Econômico,1875
44731507,1018,CHEVROLET,Equinox,2011,SUV,Nao,Gasolina,3.0,,6,Tiptronic,4x4,4-5,14,Preto,8,16621.0,5,2021-08-08,Sim,AM,4,6796,Usado,Econômico,1728
45774419,0,HONDA,FIT,2006,Hatchback,Nao,Gasolina,1.3,200000.0,4,Variator,Dianteira,4-5,17,Preto,2,8467.0,1,2020-04-14,Sim,FM,5,3382,Usado,Econômico,2209
45769185,862,FORD,Escape,2011,SUV,Sim,Híbrido,2.5,168966.0,4,Automatico,4x4,4-5,15,Branco,0,3607.0,1,2020-01-13,Não,AM/FM,7,1458,Usado,Econômico,2301
45809263,446,HONDA,FIT,2014,Hatchback,Sim,Gasolina,1.3,91901.0,4,Automatico,Dianteira,4-5,28,Prata,4,11726.0,2,2021-10-11,Não,AM,5,5374,Usado,Econômico,1664
45802912,891,HYUNDAI,Santa FE,2016,SUV,Sim,Diesel,2.0,160931.0,4,Automatico,Dianteira,4-5,20,Branco,4,39493.0,4,2022-12-02,Não,FM,9,8171,Usado,Médio,1247
45656768,761,TOYOTA,Prius,2010,Hatchback,Sim,Híbrido,1.8,258909.0,4,Automatico,Dianteira,4-5,21,Branco,12,1803.0,2,2022-12-26,Não,FM,7,2294,Usado,Econômico,1223
45816158,751,HYUNDAI,Sonata,2013,Sedan,Sim,Gasolina,2.4,216118.0,4,Automatico,Dianteira,4-5,4,Cinza,12,549.0,2,2020-10-28,Não,FM,10,7809,Usado,Econômico,2012
45641395,394,TOYOTA,Camry,2014,Sedan,Sim,Híbrido,2.5,398069.0,4,Automatico,Dianteira,4-5,21,Preto,12,,1,2022-05-10,Não,AM/FM,10,2393,Usado,,1453
45756839,0,LEXUS,RX 350,2007,SUV,Sim,Gasolina,3.5,128500.0,6,Automatico,4x4,4-5,25,Prata,12,26657.0,4,2022-09-15,Não,AM,3,6352,Usado,Médio,1325
45621750,1053,MERCEDES-BENZ,E 350,2014,Sedan,Sim,Diesel,3.5,184467.0,6,Automatico,Traseira,4-5,21,Branco,12,941.0,1,2020-08-05,Não,AM,3,7955,Usado,Econômico,2096
45814819,0,FORD,Transit,1999,Microonibus,Nao,Gás Natural,4.0,0.0,8,Manual,Traseira,2-3,4,Azul,0,8781.0,5,2020-11-22,Não,AM,5,5589,Usado,Econômico,1987
45815568,0,OPEL,Vectra,1997,Vagao de carga,Nao,Gás Natural,1.6,350000.0,4,Manual,Dianteira,4-5,26,Branco,4,3000.0,4,2021-09-14,Não,FM,7,5118,Usado,Econômico,1691
45661288,1055,LEXUS,RX 450,2013,SUV,Sim,Híbrido,3.5,138038.0,6,Automatico,Dianteira,4-5,30,Branco,12,1019.0,2,2021-02-28,Sim,AM/FM,7,6719,Usado,Econômico,1889
45732604,891,HYUNDAI,Santa FE,2016,SUV,Sim,Diesel,2.0,76000.0,4,Automatico,Dianteira,4-5,6,Branco,4,59464.0,2,2021-05-24,Não,AM/FM,4,8354,Usado,Luxo,1804
45465200,1079,TOYOTA,CHR,2018,SUV,Sim,Gasolina,2.0,,4,Automatico,Dianteira,4-5,6,Branco,12,549.0,3,2021-06-03,Não,AM/FM,8,9793,Semi-novo,Econômico,1794
45772281,810,HYUNDAI,Elantra,2016,Sedan,Sim,Gasolina,1.8,121840.0,4,Automatico,Dianteira,4-5,2,Azul,12,7683.0,1,2022-12-05,Não,AM/FM,9,8373,Usado,Econômico,1244
45797221,810,HYUNDAI,Elantra,2016,Sedan,Sim,Gasolina,1.8,54317.0,4,Automatico,Dianteira,4-5,6,Branco,4,28382.0,1,2020-09-03,Sim,AM/FM,2,7628,Usado,Médio,2067
45772104,2386,HYUNDAI,Sonata,2006,Sedan,Sim,Gasolina,3.3,295059.0,6,Automatico,Traseira,4-5,18,Azul,12,549.0,3,2020-06-21,Sim,AM/FM,1,7867,Usado,Econômico,2141
45653306,1850,LEXUS,RX 400,2008,SUV,Sim,Híbrido,3.5,364523.0,6,Automatico,4x4,4-5,30,Preto,12,941.0,4,2022-02-01,Não,AM/FM,3,3737,Usado,Econômico,1551
45801686,531,HYUNDAI,Elantra,2012,Sedan,Sim,Gasolina,1.6,112645.0,4,Automatico,Dianteira,4-5,26,Prata,4,18826.0,5,2021-04-02,Não,AM/FM,9,1442,Usado,Econômico,1856
45751951,1249,TOYOTA,Camry,2017,Sedan,Sim,Gasolina,2.5,39709.0,4,Automatico,Dianteira,4-5,3,Preto,12,17562.0,5,2020-02-09,Não,AM/FM,9,2124,Usado,Econômico,2274
